   dilution_name                   M1  M1 conc. M1_unit               M2  M2_conc. M2_unit                 M3  M3_conc. M3_unit         M4  M4_conc. M4_unit  M5  M5_conc.  M5_unit  M6  M6_conc.  M6_unit  M7  M7_conc.  M7_unit  M8  M8_conc.  M8_unit
41           *42                  BSA      0.50       %      PBS(pH=7.4)      0.02       M                ADA       3.0       %      PVP30       0.5       % NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN
42           *43                  BSA      0.50       %      PBS(pH=7.4)      0.02       M                ADA       3.0       %  Isinglass       1.0       % NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN
43           *44                  BSA      0.50       %      PBS(pH=7.4)      0.02       M            Betaine       3.0       %        NaN       NaN     NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN
44           *45                  BSA      0.50       %      PBS(pH=7.4)      0.02       M                ADA       3.0       %    Betaine       3.0       % NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN
45           *46                  BSA      0.50       %      PBS(pH=7.4)      0.02       M                ADA       3.0       %      EDTA        3.0       % NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN
46           *47                  BSA      0.50       %      PBS(pH=7.4)      0.02       M                ADA       3.0       %      GuHCl       3.0       % NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN
47           *48                  BSA      0.50       %      PBS(pH=7.4)      0.02       M                ADA       3.0       %      Urea        3.0       % NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN
48           *49      BB5H0N(pH=4.90)      0.02       M              NaN       NaN     NaN                NaN       NaN     NaN        NaN       NaN     NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN
49           *50      BB2H3N(pH=8.78)      0.02       M              NaN       NaN     NaN                NaN       NaN     NaN        NaN       NaN     NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN
50           *51      BB0H5N(pH=9.33)      0.02       M              NaN       NaN     NaN                NaN       NaN     NaN        NaN       NaN     NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN
51           *60                  BSA      0.50       %      PBS(pH=7.4)      0.02       M                ADA       3.0       %       Aβ42      10.0   pg/ml NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN
52           *70                  BSA      0.50       %      PBS(pH=7.4)      0.02       M                ADA       3.0       %       Aβ42      20.0   pg/ml NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN NaN       NaN      NaN
